_id,mongoId,avettaId,mongoObject,field,formDisplayId,questionGroupType,en,de
69a8773ea36b6c4c63546714,69a8773ea36b6c4c63546713,51157,questionGroup,questionGroupText,51157,form,Excavations,
69a8773da36b6c4c6354670b,,200056,question,description,51157,form,"Underground utility and soil hazard identification must address pipes, installations, hazardous soil, water conditions, and vibration influences before earthworks.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 48(1)</a>",
69a8773da36b6c4c6354670b,,200056,question,questionText,51157,form,Underground Utility Hazard Identification,
69a8773da36b6c4c6354670c,,200057,question,description,51157,form,"Excavation safety method selection must address sloping, reinforcement, or soil stabilization for excavations deeper than 1.25 m.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 48(2)</a>",
69a8773da36b6c4c6354670c,,200057,question,questionText,51157,form,"Sloping, Reinforcement, and/or Stabilization",
69a8773da36b6c4c6354670d,,200058,question,description,51157,form,"Edge loading restrictions must address a 50 cm protective strip near excavation edges unless collapse prevention measures exist.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 48(4)</a>",
69a8773da36b6c4c6354670d,,200058,question,questionText,51157,form,Edge Load Restriction,
69a8773da36b6c4c6354670e,,200059,question,description,51157,form,"Falling material controls must address removal or securing of loose structural elements or rocks.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 48(6)</a>",
69a8773da36b6c4c6354670e,,200059,question,questionText,51157,form,Falling Material Controls,
69a8773da36b6c4c6354670f,,200060,question,description,51157,form,"Excavation entry conditions must limit worker entry until sloping, reinforcement, or stabilization measures exist.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 48(7)</a>",
69a8773da36b6c4c6354670f,,200060,question,questionText,51157,form,Safe Entry Conditions (Pre-Work),
69a8773da36b6c4c63546710,,200061,question,description,51157,form,"Fit and competent operators must demonstrate physical, mental, and professional suitability. Suitability must align with safe equipment operation.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 5(6)</a>",
69a8773da36b6c4c63546710,,200061,question,questionText,51157,form,Competent Personnel,
69a8773da36b6c4c63546711,,200062,question,description,51157,form,"Shoring inspection provisions must include routine and event-triggered inspections by supervision. All parts of the shoring must be regularly inspected during construction and repaired or reinforced as necessary. After extended work interruptions, heavy rainfall, significant changes in load, thawing, blasting, or other vibrations, the shoring must be inspected Pre-Work resumes.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10008904"">Construction Workers Protection Ordinance, Section 51(3), 54(4)</a>",
69a8773da36b6c4c63546711,,200062,question,questionText,51157,form,"Inspections (Pre-Work, After Events Affecting Stability, Periodic)",
69a8773da36b6c4c63546712,,200063,question,questionText,51157,form,<div></div>,
