_id,mongoId,avettaId,mongoObject,field,formDisplayId,questionGroupType,en,de
69a8773ca36b6c4c63546701,69a8773ca36b6c4c63546700,51155,questionGroup,questionGroupText,51155,form,Electromagnetic Fields (EMF),
69a8773ca36b6c4c635466f9,,200042,question,description,51155,form,"A workplace electromagnetic field assessment is required, and exposure must be evaluated using state-of-the-art information, manufacturer data, and recognized methods.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 6(1), 7(1)</a>",
69a8773ca36b6c4c635466f9,,200042,question,questionText,51155,form,Exposure Assessment,
69a8773ca36b6c4c635466fa,,200043,question,description,51155,form,"Non-thermal and thermal exposure limit values must be established, with measures in place to ensure these limits are not exceeded for the relevant frequencies and types of exposure.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 3(1-2)</a>",
69a8773ca36b6c4c635466fa,,200043,question,questionText,51155,form,Exposure Limits,
69a8773ca36b6c4c635466fb,,200044,question,description,51155,form,"Corrective action steps are required. Exposure must be reduced immediately, the reasons for exceeding limits must be determined, and protective measures, along with the safety and health protection document, must be updated accordingly.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 3(5)</a>",
69a8773ca36b6c4c635466fb,,200044,question,questionText,51155,form,Actions Above Limit Values,
69a8773ca36b6c4c635466fc,,200045,question,description,51155,form,"Exposure reduction measures such as shielding, separation, alternative equipment, interlocks, source reduction measures, organizational exposure, and technical EMF controls must be considered to reduce exposures.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 7(3), 9(2), 10(1-5)</a>",
69a8773ca36b6c4c635466fc,,200045,question,questionText,51155,form,Control Measures,
69a8773ca36b6c4c635466fd,,200046,question,description,51155,form,"Provision of electromagnetic field-related personal protective equipment (PPE) is required, and suitable PPE must be provided and used when exposure limits are exceeded.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 11(1)</a>",
69a8773ca36b6c4c635466fd,,200046,question,questionText,51155,form,Personal Protective Equipment (PPE),
69a8773ca36b6c4c635466fe,,200047,question,description,51155,form,"Electromagnetic field hazard instruction is required, and employees must receive information and training when trigger values are exceeded or EMF hazards are possible. This includes recognition and reporting of symptoms, safe procedures, equipment handling, correct PPE use, and exposure-reducing behaviors.\n<a target=""_BLANK"" href=""https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20009590"">Regulation on Electromagnetic Fields, Section 8(1)</a>",
69a8773ca36b6c4c635466fe,,200047,question,questionText,51155,form,Training,
69a8773ca36b6c4c635466ff,,200048,question,questionText,51155,form,<div></div>,
